codecommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
82032;452;126;26;124;88;40;26;22
82033;10437;3507;783;2868;1648;785;509;337
82034;90;29;8;29;20;3;1;0
82035;245;62;16;77;44;33;3;10
82036;111;34;7;29;20;12;3;8
82037;5281;1509;426;1471;835;490;325;225
82038;1174;325;93;306;202;96;88;63
82039;412;95;20;137;74;52;23;12
82040;218;37;9;73;53;32;10;5
82041;178;28;25;47;38;13;19;8
82042;917;317;66;230;138;80;44;40
82043;210;55;11;68;43;20;6;8
82044;1211;226;81;303;209;155;140;97
82045;256;50;16;70;60;30;14;15
82046;85;30;2;24;14;8;6;1
82047;42;15;1;17;7;0;1;2
82048;1120;155;59;358;214;167;94;73
82049;785;196;76;228;147;72;35;31
82050;907;235;44;246;181;117;51;33
82051;631;138;47;177;124;59;56;30
82052;782;166;41;243;136;87;70;40
82053;214;57;8;69;32;22;20;5
82054;279;61;21;94;53;20;17;12
82055;202;53;14;57;36;20;11;12
82056;142;26;14;41;26;13;11;13
82057;426;45;11;107;94;76;45;46
82058;70;22;4;21;14;7;1;1
82059;234;85;14;67;31;17;8;11
82060;181;50;13;41;36;19;14;9
82061;129;27;14;32;26;8;11;11
82062;1054;247;57;326;203;116;60;44
82063;488;111;31;161;90;43;35;17
82064;92;26;5;17;19;13;9;5
82065;344;84;27;101;69;26;19;19
82066;454;72;21;133;106;57;43;24
82067;92;20;9;26;15;13;4;5
82068;157;30;8;38;43;21;13;4
82069;180;45;16;28;38;20;15;16
82070;56;4;3;18;16;10;2;2
82071;28;5;0;8;5;7;2;1
82072;714;185;33;231;135;78;34;18
82073;752;193;41;230;123;95;39;31
82074;118;21;8;24;25;8;14;16
82075;3033;715;176;806;533;377;221;205
82076;1229;291;82;393;227;114;78;44
82077;310;82;13;87;60;25;31;13
82078;103;32;6;27;19;10;5;4
82079;2700;797;180;750;392;300;160;123
82080;789;167;48;282;158;67;45;22
82081;125;40;5;36;17;8;14;4
82082;157;30;14;32;32;21;15;13
82083;99;34;6;26;19;5;1;7
82084;143;43;8;30;29;18;8;8
82085;858;155;63;265;149;113;75;38
82086;187;71;5;57;21;14;17;2
82087;2173;511;130;603;395;261;171;103
82088;541;156;30;146;99;43;42;24
82089;878;250;61;279;138;66;51;33
82090;811;138;45;248;152;96;77;55
82091;102;21;3;29;25;12;7;5
82092;203;45;18;53;51;18;12;7
