CodeCommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
67529;2656;381;72;968;482;329;214;209
67530;303;43;9;99;60;47;26;20
67531;240;44;4;68;48;24;27;25
67532;833;126;20;263;151;125;77;71
67534;571;92;24;224;114;69;31;17
67535;849;186;26;338;140;78;53;28
67536;135;19;4;46;35;17;9;6
67537;344;65;14;131;57;46;23;7
67538;1250;291;53;429;197;154;75;53
67539;1802;281;51;544;339;254;165;167
67540;633;94;12;176;127;113;62;49
67541;434;107;16;155;75;39;22;20
67542;360;46;10;95;74;61;42;32
67543;1564;381;54;601;263;138;82;45
67544;6061;1235;266;1766;1074;586;559;575
67545;374;57;18;128;80;53;25;13
67546;533;55;11;171;111;97;44;45
67547;1593;334;43;580;296;183;95;62
67548;655;60;14;176;122;108;77;97
67550;1337;224;47;481;248;152;103;83
67551;3158;405;119;833;561;429;376;434
67552;259;44;9;89;56;27;14;19
67553;229;55;2;85;39;30;7;10
67554;760;84;34;173;150;110;100;108
67555;182;24;6;61;35;34;19;3
67556;166;19;4;50;34;24;16;19
67557;624;85;21;214;116;95;58;35
67558;581;133;19;252;76;60;26;16
67559;203;40;11;60;28;27;17;19
68001;844;134;40;273;196;98;56;46
68002;299;51;11;93;58;35;29;22
68004;4339;875;174;1231;814;507;388;351
68005;1354;165;39;368;252;220;156;154
68006;896;99;27;292;171;159;81;67
68007;1700;193;32;522;305;264;198;186
68008;442;57;12;145;83;71;38;36
68009;633;95;24;213;131;87;38;43
68010;873;110;32;279;191;116;89;55
68011;954;95;22;284;173;167;121;92
68012;1327;142;25;392;250;230;152;136
68013;769;131;12;242;146;95;60;83
68014;285;38;5;90;56;44;33;20
68015;1978;239;61;664;327;298;217;172
68016;714;127;29;226;129;114;63;26
68017;625;113;27;221;104;82;48;29
68018;600;105;26;212;94;89;45;30
68019;418;85;27;160;82;28;28;10
68020;1317;305;56;490;188;157;79;41
68021;3172;620;88;1015;540;366;246;297
68022;1215;148;35;417;244;175;110;86
68023;739;118;13;233;132;126;64;52
68024;128;39;10;33;19;11;10;6
68025;190;32;9;73;35;15;11;17
68026;1061;175;36;278;178;186;105;102
68027;253;31;9;98;62;21;22;11
68028;1637;348;69;486;288;197;127;120
68029;855;137;25;275;166;116;85;51
