CodeCommune;NomCommune;Pop2017;Pop2022
39491;Coteaux du Lizon;2397;2146
39168;Courbette;51;46
39169;Courbouzon;590;584
39170;Courlans;926;922
39171;Courlaoux;1106;1179
39172;Courtefontaine;249;260
39173;Cousance;1308;1290
39174;Coyrière;65;66
39175;Coyron;73;69
39176;Cramans;524;517
39178;Crans;74;86
39179;Crenans;239;231
39180;Cressia;258;250
39182;Crissey;653;685
39183;Crotenay;640;619
39184;Les Crozets;199;193
39185;Cuisia;392;388
39187;Cuvier;262;274
39188;Dammartin-Marpain;342;343
39189;Damparis;2694;2590
39190;Dampierre;1278;1316
39191;Darbonnay;92;81
39192;Denezières;72;73
39193;Le Deschaux;1021;1030
39194;Desnes;481;490
39196;Les Deux-Fays;106;121
39197;Digna;350;368
39198;Dole;23708;23784
39199;Domblans;1232;1195
39200;Dompierre-sur-Mont;230;210
39201;Doucier;298;281
39202;Dournon;140;140
39203;Doye;101;108
39204;Dramelay;29;27
39205;Éclans-Nenon;387;373
39206;Écleux;224;217
39207;Écrille;83;89
39208;Entre-deux-Monts;142;165
39210;Équevillon;582;568
39211;Les Essards-Taignevaux;260;247
39214;Esserval-Tartre;119;132
39216;Étival;308;310
39217;L'Étoile;563;573
39218;Étrepigney;430;432
39219;Évans;644;658
39220;Falletans;393;399
39221;La Favière;28;32
39222;Fay-en-Montagne;85;87
39223;La Ferté;198;187
39225;Le Fied;204;189
39227;Foncine-le-Bas;192;203
39228;Foncine-le-Haut;1063;1107
39229;Fontainebrux;202;206
39230;Fontenu;75;73
39232;Fort-du-Plasne;443;478
39233;Foucherans;2193;2286
39234;Foulenay;84;83
39235;Fraisans;1215;1170
39236;Francheville;55;40
39237;Fraroz;49;59
39238;Frasne-les-Meulières;119;106
39239;La Frasnée;39;40
39240;Le Frasnois;160;171
39241;Frébuans;373;388
39244;Frontenay;172;161
39245;Gatey;371;364
39246;Gendrey;428;438
39247;Genod;68;73
39248;Geraise;42;43
39249;Germigney;78;77
39250;Geruge;169;189
39251;Gevingey;451;441
39252;Gevry;692;732
39253;Gigny;281;267
39254;Gillois;136;128
39255;Gizia;236;201
39258;Grande-Rivière Château;628;633
39259;Grange-de-Vaivre;35;45
39261;Graye-et-Charnay;139;136
39262;Gredisans;136;131
39263;Grozon;420;384
39265;Hautecour;191;197
39177;Hauteroche;951;977
39368;Hauts de Bienne;5350;5099
39266;Les Hays;331;351
39267;Ivory;96;87
39268;Ivrey;61;62
39269;Jeurre;270;238
39270;Jouhe;563;537
39271;Lac-des-Rouges-Truites;394;395
39272;Ladoye-sur-Seille;52;49
39274;Lajoux;262;299
39275;Lamoura;642;659
39277;Le Larderet;74;50
39278;Largillay-Marsonnay;153;131
39279;Larnaud;603;619
39280;Larrivoire;103;108
39281;Le Latet;81;89
39282;La Latette;73;77
39283;Lavancia-Epercy;646;618
39284;Lavangeot;138;141
39285;Lavans-lès-Dole;324;327
